src,dest
/wiki/Conservation_status,/wiki/IUCN_Red_List#Categories
/wiki/Conservation_status,/wiki/Extinction
/wiki/Conservation_status,/wiki/Extinct_in_the_wild
/wiki/Conservation_status,/wiki/IUCN_Red_List_of_extinct_species
/wiki/Conservation_status,/wiki/IUCN_Red_List_extinct_in_the_wild_species
/wiki/Conservation_status,/wiki/Threatened_species
/wiki/Conservation_status,/wiki/Critically_Endangered
/wiki/Conservation_status,/wiki/Endangered_species_(IUCN_status)
/wiki/Conservation_status,/wiki/Vulnerable_species
/wiki/Conservation_status,/wiki/Lists_of_IUCN_Red_List_critically_endangered_species
/wiki/Conservation_status,/wiki/Lists_of_IUCN_Red_List_endangered_species
/wiki/Conservation_status,/wiki/Lists_of_IUCN_Red_List_vulnerable_species
/wiki/Conservation_status,/wiki/Lower_Risk
/wiki/Conservation_status,/wiki/Near-threatened_species
/wiki/Conservation_status,/wiki/Conservation-dependent_species
/wiki/Conservation_status,/wiki/Least-concern_species
/wiki/Conservation_status,/wiki/Lists_of_IUCN_Red_List_near_threatened_species
/wiki/Conservation_status,/wiki/IUCN_Red_List_conservation_dependent_species
/wiki/Conservation_status,/wiki/Data_deficient
/wiki/Conservation_status,/wiki/Not_evaluated
/wiki/Conservation_status,/wiki/Lists_of_IUCN_Red_List_data_deficient_species
/wiki/Conservation_status,/wiki/International_Union_for_Conservation_of_Nature
/wiki/Conservation_status,/wiki/IUCN_Red_List
/wiki/Conservation_status,/wiki/NatureServe_conservation_status
/wiki/Conservation_status,/wiki/Lists_of_organisms_by_population
/wiki/Conservation_status,/wiki/Taxon
/wiki/Conservation_status,/wiki/Species
/wiki/Conservation_status,/wiki/Extinction_debt
/wiki/Conservation_status,/wiki/Critically_endangered
/wiki/Conservation_status,/wiki/Near_threatened
/wiki/Conservation_status,/wiki/Conservation_Dependent
/wiki/Conservation_status,/wiki/Least_concern
/wiki/Conservation_status,/wiki/Taxa
/wiki/Conservation_status,/wiki/CITES
/wiki/Conservation_status,/wiki/European_Union
/wiki/Conservation_status,/wiki/Latin_America
/wiki/Conservation_status,/wiki/Caribbean
/wiki/Conservation_status,/wiki/NatureServe
/wiki/Conservation_status,/wiki/The_Nature_Conservancy
/wiki/Conservation_status,/wiki/Red_Data_Book_of_the_Russian_Federation
/wiki/Conservation_status,/wiki/Environment_Protection_and_Biodiversity_Conservation_Act_1999
/wiki/Conservation_status,/wiki/Declared_Rare_and_Priority_Flora_List
/wiki/Conservation_status,/wiki/Research_Institute_for_Nature_and_Forest
/wiki/Conservation_status,/wiki/Committee_on_the_Status_of_Endangered_Wildlife_in_Canada
/wiki/Conservation_status,/wiki/Species_at_Risk_Act
/wiki/Conservation_status,/wiki/Finland
/wiki/Conservation_status,/wiki/EU_Habitats_Directive
/wiki/Conservation_status,/wiki/Federal_Agency_for_Nature_Conservation
/wiki/Conservation_status,"/wiki/Wild_Life_Protection_Act,_1972,_Amended_2003"
/wiki/Conservation_status,"/wiki/Biological_Diversity_Act,_2002"
/wiki/Conservation_status,/wiki/Ministry_of_the_Environment_(Japan)
/wiki/Conservation_status,/wiki/Netherlands
/wiki/Conservation_status,"/wiki/Ministry_of_Agriculture,_Nature_and_Food_Quality"
/wiki/Conservation_status,/wiki/Department_of_Conservation_(New_Zealand)
/wiki/Conservation_status,/wiki/New_Zealand_Threat_Classification_System
/wiki/Conservation_status,/wiki/South_Africa
/wiki/Conservation_status,/wiki/South_African_National_Biodiversity_Institute
/wiki/Conservation_status,/wiki/Thailand
/wiki/Conservation_status,/wiki/Reserved_animals_of_Thailand
/wiki/Conservation_status,/wiki/Ministry_of_Natural_Resources_and_Environment_(Thailand)
/wiki/Conservation_status,/wiki/Ukraine
/wiki/Conservation_status,/wiki/United_States_of_America
/wiki/Conservation_status,/wiki/Endangered_Species_Act_of_1973
/wiki/Conservation_status,/wiki/United_States_Fish_and_Wildlife_Service_list_of_endangered_species
/wiki/Conservation_status,/wiki/Sustainable_seafood_advisory_lists_and_certification
/wiki/Conservation_status,/wiki/Seafood
/wiki/Conservation_status,/wiki/Seafood_Watch
/wiki/Conservation_status,/wiki/Bycatch
/wiki/Conservation_status,/wiki/Bottom_trawling
/wiki/Conservation_status,/wiki/Squid
/wiki/Conservation_status,/wiki/Prawn
/wiki/Conservation_status,/wiki/Marine_Conservation_Society
/wiki/Conservation_status,/wiki/Conservation_status_of_wolves_in_Europe
/wiki/Conservation_status,/wiki/Convention_on_the_Conservation_of_Migratory_Species_of_Wild_Animals
/wiki/Conservation_status,/wiki/Lazarus_taxon
/wiki/Conservation_status,/wiki/List_of_endangered_species_in_North_America
/wiki/Conservation_status,/wiki/Listing_priority_number
/wiki/Conservation_status,/wiki/Lists_of_extinct_animals
/wiki/Conservation_status,/wiki/Living_Planet_Index
/wiki/Conservation_status,/wiki/Red_List_Index
/wiki/Conservation_status,/wiki/Regional_Red_List
/wiki/Conservation_status,/wiki/Reintroduction
/wiki/Conservation_status,/wiki/Wayback_Machine
/wiki/Conservation_status,/wiki/Endangered_species
/wiki/Conservation_status,/wiki/Lower_risk
/wiki/Conservation_status,/wiki/Lists_of_IUCN_Red_List_least_concern_species
/wiki/Conservation_status,/wiki/List_of_species_protected_by_CITES_Appendix_I
/wiki/Conservation_status,/wiki/List_of_species_protected_by_CITES_Appendix_II
/wiki/Conservation_status,/wiki/List_of_species_protected_by_CITES_Appendix_III
/wiki/Conservation_status,/wiki/List_of_endangered_arthropods
/wiki/Conservation_status,/wiki/List_of_endangered_spiders
/wiki/Conservation_status,/wiki/Decline_in_insect_populations
/wiki/Conservation_status,/wiki/Decline_in_amphibian_populations
/wiki/Conservation_status,/wiki/Ecology_of_Banksia#Threatened_species
/wiki/Conservation_status,/wiki/List_of_threatened_rays
/wiki/Conservation_status,/wiki/List_of_threatened_sharks
/wiki/Conservation_status,/wiki/List_of_fungi_by_conservation_status
/wiki/Conservation_status,/wiki/List_of_Chromista_by_conservation_status
/wiki/Conservation_status,/wiki/The_World%27s_25_Most_Endangered_Primates
/wiki/Conservation_status,/wiki/The_world%27s_100_most_threatened_species
