src,dest
/wiki/Green_tea,/wiki/Green_Tea_(disambiguation)
/wiki/Green_tea,/wiki/Tea
/wiki/Green_tea,/wiki/China
/wiki/Green_tea,/wiki/East_Asia
/wiki/Green_tea,/wiki/Camellia_sinensis
/wiki/Green_tea,/wiki/Traditional_Chinese_characters
/wiki/Green_tea,/wiki/Simplified_Chinese_characters
/wiki/Green_tea,/wiki/Standard_Chinese
/wiki/Green_tea,/wiki/Hanyu_Pinyin
/wiki/Green_tea,/wiki/Cantonese
/wiki/Green_tea,/wiki/Yale_romanization_of_Cantonese
/wiki/Green_tea,/wiki/Jyutping
/wiki/Green_tea,/wiki/Southern_Min
/wiki/Green_tea,/wiki/Taiwanese_Romanization_System
/wiki/Green_tea,/wiki/Tea_processing#General
/wiki/Green_tea,/wiki/Oolong_tea
/wiki/Green_tea,/wiki/Black_tea
/wiki/Green_tea,/wiki/Catechin
/wiki/Green_tea,/wiki/Theanine
/wiki/Green_tea,/wiki/Azores_Islands
/wiki/Green_tea,/wiki/Agriculture_in_Georgia_(country)
/wiki/Green_tea,/wiki/History_of_tea
/wiki/Green_tea,/wiki/History_of_tea_in_China
/wiki/Green_tea,/wiki/Shennong
/wiki/Green_tea,/wiki/Lu_Yu
/wiki/Green_tea,/wiki/Tang_dynasty
/wiki/Green_tea,/wiki/The_Classic_of_Tea
/wiki/Green_tea,/wiki/Pinyin
/wiki/Green_tea,/wiki/Yangsheng_(Daoism)
/wiki/Green_tea,/wiki/Zen
/wiki/Green_tea,/wiki/Eisai
/wiki/Green_tea,/wiki/Organ_(anatomy)
/wiki/Green_tea,/wiki/Steeping
/wiki/Green_tea,/wiki/Gyokuro
/wiki/Green_tea,/wiki/Tannins_in_tea
/wiki/Green_tea,/wiki/Astringent
/wiki/Green_tea,/wiki/Polyphenol
/wiki/Green_tea,/wiki/Epigallocatechin_gallate
/wiki/Green_tea,/wiki/Epicatechin_gallate
/wiki/Green_tea,/wiki/Epicatechin
/wiki/Green_tea,/wiki/Flavanol
/wiki/Green_tea,/wiki/In_vivo
/wiki/Green_tea,/wiki/Flavonoid
/wiki/Green_tea,/wiki/Kaempferol
/wiki/Green_tea,/wiki/Quercetin
/wiki/Green_tea,/wiki/Myricetin
/wiki/Green_tea,/wiki/Catechins
/wiki/Green_tea,/wiki/Health_effects_of_tea
/wiki/Green_tea,/wiki/Food_energy
/wiki/Green_tea,/wiki/Carbohydrate
/wiki/Green_tea,/wiki/Fat
/wiki/Green_tea,/wiki/Protein_(nutrient)
/wiki/Green_tea,/wiki/Vitamin
/wiki/Green_tea,/wiki/Thiamine
/wiki/Green_tea,/wiki/Riboflavin
/wiki/Green_tea,/wiki/Niacin_(nutrient)
/wiki/Green_tea,/wiki/Vitamin_B6
/wiki/Green_tea,/wiki/Vitamin_C
/wiki/Green_tea,/wiki/Mineral_(nutrient)
/wiki/Green_tea,/wiki/Calcium_in_biology#Humans
/wiki/Green_tea,/wiki/Human_iron_metabolism
/wiki/Green_tea,/wiki/Magnesium_in_biology
/wiki/Green_tea,/wiki/Manganese#Biological_role
/wiki/Green_tea,/wiki/Potassium_in_biology
/wiki/Green_tea,/wiki/Sodium_in_biology
/wiki/Green_tea,/wiki/Microgram
/wiki/Green_tea,/wiki/Milligram
/wiki/Green_tea,/wiki/International_unit
/wiki/Green_tea,/wiki/Dietary_Reference_Intake
/wiki/Green_tea,/wiki/Nutrient
/wiki/Green_tea,/wiki/Phytochemical
/wiki/Green_tea,/wiki/Caffeine
/wiki/Green_tea,/wiki/Clinical_research
/wiki/Green_tea,/wiki/European_Commission
/wiki/Green_tea,/wiki/Alertness
/wiki/Green_tea,/wiki/Cancer
/wiki/Green_tea,/wiki/Cardiovascular_diseases
/wiki/Green_tea,/wiki/Weight_loss
/wiki/Green_tea,/wiki/Cochrane_Collaboration
/wiki/Green_tea,/wiki/Adverse_effects
/wiki/Green_tea,/wiki/Gastrointestinal_disorders
/wiki/Green_tea,/wiki/Chemotherapy
/wiki/Green_tea,/wiki/Bortezomib
/wiki/Green_tea,/wiki/Boronic_acid
/wiki/Green_tea,/wiki/Proteasome_inhibitor
/wiki/Green_tea,/wiki/Stroke
/wiki/Green_tea,/wiki/Randomized_controlled_trials
/wiki/Green_tea,/wiki/Blood_pressure
/wiki/Green_tea,/wiki/Fasting_glucose
/wiki/Green_tea,/wiki/Hemoglobin_A1c
/wiki/Green_tea,/wiki/Fasting
/wiki/Green_tea,/wiki/Insulin
/wiki/Green_tea,/wiki/Cholesterol
/wiki/Green_tea,/wiki/Low_density_lipoprotein
/wiki/Green_tea,/wiki/High_density_lipoprotein
/wiki/Green_tea,/wiki/Triglyceride
/wiki/Green_tea,/wiki/Cochrane_(organisation)
/wiki/Green_tea,/wiki/Blood_plasma
/wiki/Green_tea,/wiki/C-reactive_protein
/wiki/Green_tea,/wiki/Inflammation
/wiki/Green_tea,/wiki/Hepatotoxicity
/wiki/Green_tea,/wiki/European_Food_Safety_Authority
/wiki/Green_tea,/wiki/Tonne
/wiki/Green_tea,/wiki/Volatile_organic_compounds
/wiki/Green_tea,/wiki/Aracha
/wiki/Green_tea,/wiki/Tea_blending_and_additives
/wiki/Green_tea,/wiki/Charles_de_Gaulle_Airport
