src,dest
/wiki/Hydrocera,/wiki/Conservation_status
/wiki/Hydrocera,/wiki/Least_Concern
/wiki/Hydrocera,/wiki/IUCN_Red_List
/wiki/Hydrocera,/wiki/Taxonomy_(biology)
/wiki/Hydrocera,/wiki/Plant
/wiki/Hydrocera,/wiki/Vascular_plant
/wiki/Hydrocera,/wiki/Flowering_plant
/wiki/Hydrocera,/wiki/Eudicots
/wiki/Hydrocera,/wiki/Asterids
/wiki/Hydrocera,/wiki/Ericales
/wiki/Hydrocera,/wiki/Balsaminaceae
/wiki/Hydrocera,/wiki/Carl_Ludwig_Blume
/wiki/Hydrocera,/wiki/Binomial_nomenclature
/wiki/Hydrocera,/wiki/Genus
/wiki/Hydrocera,/wiki/Family_(biology)
/wiki/Hydrocera,/wiki/Southeast_Asia
/wiki/Hydrocera,/wiki/Impatiens
/wiki/Hydrocera,/wiki/Wikidata
/wiki/Hydrocera,/wiki/Wikispecies
/wiki/Hydrocera,/wiki/Catalogue_of_Life
/wiki/Hydrocera,/wiki/Encyclopedia_of_Life
/wiki/Hydrocera,/wiki/EPPO_Code
/wiki/Hydrocera,/wiki/Flora_of_China
/wiki/Hydrocera,/wiki/Global_Biodiversity_Information_Facility
/wiki/Hydrocera,/wiki/Germplasm_Resources_Information_Network
/wiki/Hydrocera,/wiki/INaturalist
/wiki/Hydrocera,/wiki/International_Plant_Names_Index
/wiki/Hydrocera,/wiki/Interim_Register_of_Marine_and_Nonmarine_Genera
/wiki/Hydrocera,/wiki/National_Center_for_Biotechnology_Information
/wiki/Hydrocera,/wiki/Open_Tree_of_Life
/wiki/Hydrocera,/wiki/Plants_of_the_World_Online
/wiki/Hydrocera,/wiki/Tropicos
/wiki/Hydrocera,/wiki/World_Flora_Online
/wiki/Hydrocera,/wiki/The_Plant_List
/wiki/Hydrocera,/wiki/Hydrocera
