src,dest
/wiki/Longjing_tea,/wiki/Green_tea
/wiki/Longjing_tea,/wiki/Hangzhou
/wiki/Longjing_tea,/wiki/Zhejiang
/wiki/Longjing_tea,/wiki/China
/wiki/Longjing_tea,/wiki/Simplified_Chinese_characters
/wiki/Longjing_tea,/wiki/Traditional_Chinese_characters
/wiki/Longjing_tea,/wiki/Pinyin
/wiki/Longjing_tea,/wiki/Yale_romanization_of_Cantonese
/wiki/Longjing_tea,"/wiki/Longjing,_Hangzhou"
/wiki/Longjing_tea,/wiki/List_of_Chinese_teas#Ten_Famous_Teas
/wiki/Longjing_tea,/wiki/Vitamin_C
/wiki/Longjing_tea,/wiki/Amino_acid
/wiki/Longjing_tea,/wiki/Tea_catechins
/wiki/Longjing_tea,/wiki/Photosynthesis
/wiki/Longjing_tea,/wiki/Tea_polyphenols
/wiki/Longjing_tea,/wiki/Zhejiang_province
/wiki/Longjing_tea,/wiki/Qing_dynasty
/wiki/Longjing_tea,/wiki/Kangxi_Emperor
/wiki/Longjing_tea,/wiki/Qianlong_Emperor
/wiki/Longjing_tea,/wiki/West_Lake
/wiki/Longjing_tea,/wiki/Empress_Xiaoshengxian
/wiki/Longjing_tea,/wiki/Chinese_dragon
/wiki/Longjing_tea,/wiki/Dreaming_of_the_Tiger_Spring
/wiki/Longjing_tea,"/wiki/Xihu_District,_Hangzhou"
/wiki/Longjing_tea,/wiki/Yunnan
/wiki/Longjing_tea,/wiki/Guizhou
/wiki/Longjing_tea,/wiki/Sichuan
/wiki/Longjing_tea,/wiki/Tea_leaves
/wiki/Longjing_tea,/wiki/Qingming_Festival
/wiki/Longjing_tea,/wiki/Anji_County
/wiki/Longjing_tea,/wiki/White_tea
/wiki/Longjing_tea,/wiki/Protected_Designation_of_Origin
/wiki/Longjing_tea,/wiki/List_of_Chinese_teas
/wiki/Longjing_tea,/wiki/Starkey_International_Institute_for_Household_Management
/wiki/Longjing_tea,/wiki/Oxford
/wiki/Longjing_tea,/wiki/Pergamon_Press
/wiki/Longjing_tea,/wiki/YouTube
