src,dest
/wiki/Tea,/wiki/Camellia_sinensis
/wiki/Tea,/wiki/Tea_(disambiguation)
/wiki/Tea,/wiki/Longjing_tea
/wiki/Tea,/wiki/Green_tea
/wiki/Tea,/wiki/Gaiwan
/wiki/Tea,/wiki/Curing_(vegetable_preservation)
/wiki/Tea,/wiki/Evergreen
/wiki/Tea,/wiki/Shrub
/wiki/Tea,/wiki/Geography_of_Myanmar
/wiki/Tea,/wiki/Camellia_taliensis
/wiki/Tea,/wiki/Astringent
/wiki/Tea,/wiki/Note_(perfumery)
/wiki/Tea,/wiki/Stimulant
/wiki/Tea,/wiki/Caffeine
/wiki/Tea,/wiki/Hua_Tuo
/wiki/Tea,/wiki/Tang_dynasty
/wiki/Tea,/wiki/Jesuit_China_missions#The_arrival_of_Jesuits
/wiki/Tea,/wiki/English_people
/wiki/Tea,/wiki/Presidencies_and_provinces_of_British_India
/wiki/Tea,/wiki/Herbal_tea
/wiki/Tea,/wiki/Plant_anatomy
/wiki/Tea,/wiki/Steeping
/wiki/Tea,/wiki/Rose_hip
/wiki/Tea,/wiki/Chamomile
/wiki/Tea,/wiki/Rooibos
/wiki/Tea,/wiki/Etymology_of_tea
/wiki/Tea,/wiki/Etymology
/wiki/Tea,/wiki/Macao
/wiki/Tea,/wiki/Cantonese
/wiki/Tea,/wiki/Min_Chinese
/wiki/Tea,/wiki/Persia
/wiki/Tea,/wiki/History_of_tea
/wiki/Tea,/wiki/History_of_tea_in_China
/wiki/Tea,/wiki/K%C3%B6hler%27s_Medicinal_Plants
/wiki/Tea,/wiki/Clade
/wiki/Tea,/wiki/Yunnan
/wiki/Tea,/wiki/Xishuangbanna
/wiki/Tea,/wiki/Pu%27er_City
/wiki/Tea,/wiki/Lincang
/wiki/Tea,"/wiki/Baoshan,_Yunnan"
/wiki/Tea,/wiki/Haplotype
/wiki/Tea,/wiki/Camellia_pubicosta
/wiki/Tea,/wiki/Ice_age
/wiki/Tea,/wiki/Shennong
/wiki/Tea,/wiki/Millennia
/wiki/Tea,/wiki/Soups
/wiki/Tea,/wiki/Leaf_vegetable
/wiki/Tea,/wiki/Ferment
/wiki/Tea,/wiki/Betel
/wiki/Tea,/wiki/Sichuan
/wiki/Tea,/wiki/Classic_of_Poetry
/wiki/Tea,/wiki/Sow_thistle
/wiki/Tea,/wiki/Chicory
/wiki/Tea,/wiki/Polygonum
/wiki/Tea,/wiki/Chronicles_of_Huayang
/wiki/Tea,/wiki/Ba_(state)
/wiki/Tea,/wiki/Zhou_dynasty
/wiki/Tea,/wiki/Qin_(state)
/wiki/Tea,/wiki/Shu_(state)
/wiki/Tea,/wiki/Gu_Yanwu
/wiki/Tea,/wiki/Qin_dynasty
/wiki/Tea,/wiki/Emperor_Jing_of_Han
/wiki/Tea,/wiki/Xi%27an
/wiki/Tea,/wiki/Han_dynasty
/wiki/Tea,/wiki/Wang_Bao
/wiki/Tea,/wiki/Chengdu
/wiki/Tea,/wiki/Northern_and_Southern_dynasties
